,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
59,201810,2,6,5,1,1,36000,30200,대전광역시,유성구,,1070105,과채류,A,식료품 및 비주류음료
60,201906,2,3,4,1,1,2000,11230536,서울특별시,동대문구,용신동,1020601,옥수수스낵,A,식료품 및 비주류음료
61,201907,1,2,5,1,1,2000,11680700,서울특별시,강남구,세곡동,1010901,샐러드류,A,식료품 및 비주류음료
62,201811,1,3,3,1,1,1000,11380530,서울특별시,은평구,불광제2동,1030104,조리빵류,A,식료품 및 비주류음료
63,201911,1,6,4,1,1,1000,11560535,서울특별시,영등포구,영등포동,1011106,수산소재류(냉동),A,식료품 및 비주류음료
64,201912,2,3,4,1,2,4000,11350621,서울특별시,노원구,중계1동,1011604,유부,A,식료품 및 비주류음료
65,201908,2,5,3,1,1,4000,11320690,서울특별시,도봉구,방학제1동,1010205,소스류,A,식료품 및 비주류음료
66,201910,2,5,3,1,1,4000,41310,경기도,구리시,,1070106,엽채류,A,식료품 및 비주류음료
67,201803,2,3,4,1,2,3000,11710680,서울특별시,송파구,잠실3동,1090201,어포류,A,식료품 및 비주류음료
68,201807,2,4,5,1,1,5000,11230560,서울특별시,동대문구,전농제1동,1011604,유부,A,식료품 및 비주류음료
69,201909,2,4,5,1,1,2000,11710642,서울특별시,송파구,문정2동,1100101,담배,B,주류 및 담배
70,201801,2,6,5,1,2,2000,11380530,서울특별시,은평구,불광제2동,1011102,튀김류,A,식료품 및 비주류음료
71,201807,2,4,3,1,2,11000,11380690,서울특별시,은평구,진관동,1080101,맥주,B,주류 및 담배
72,201909,2,2,4,1,4,8000,11290660,서울특별시,성북구,길음제1동,1070201,달걀,A,식료품 및 비주류음료
73,201809,1,4,3,1,3,7000,11545610,서울특별시,금천구,독산제1동,1080102,소주,B,주류 및 담배
74,201912,1,2,6,1,1,34000,11650530,서울특별시,서초구,서초3동,1060101,드링크발효유,A,식료품 및 비주류음료
75,201912,2,3,3,1,2,1000,11350625,서울특별시,노원구,중계2.3동,9029999,기타패션잡화,C,의류 및 신발
76,201903,2,3,2,2,1,7000,11710647,서울특별시,송파구,위례동,3020101,바디클렌저,L,기타 상품 및 서비스
77,201905,2,5,4,1,3,1000,11545610,서울특별시,금천구,독산제1동,1011703,부침가루,A,식료품 및 비주류음료
78,201908,2,2,3,1,2,1000,50110,제주특별자치도,제주시,,1010708,봉지라면,A,식료품 및 비주류음료
79,201804,1,4,6,1,1,4000,11500570,서울특별시,강서구,화곡제4동,1070201,달걀,A,식료품 및 비주류음료
80,201909,2,3,6,1,2,3000,41310,경기도,구리시,,1010709,용기라면,A,식료품 및 비주류음료
81,201801,1,3,6,1,1,1000,11200690,서울특별시,성동구,성수2가제3동,1010512,들기름,A,식료품 및 비주류음료
82,201910,2,5,5,1,2,4000,11380530,서울특별시,은평구,불광제2동,1058899,음료기획세트,A,식료품 및 비주류음료
83,201902,2,4,6,1,1,5000,11560610,서울특별시,영등포구,양평제1동,1060101,드링크발효유,A,식료품 및 비주류음료
84,201806,2,6,5,1,1,5000,44270,충청남도,당진시,,1080101,맥주,B,주류 및 담배
85,201910,2,3,5,1,1,1000,11710710,서울특별시,송파구,잠실6동,1010999,기타간편가정식/편이식,A,식료품 및 비주류음료
86,201809,1,5,3,1,1,1000,11380690,서울특별시,은평구,진관동,1070108,조미채소,A,식료품 및 비주류음료
87,201907,2,3,4,1,1,2000,11215870,서울특별시,광진구,구의제3동,1020708,과일젤리류,A,식료품 및 비주류음료
88,201805,2,3,4,3,1,3000,11530530,서울특별시,구로구,구로제2동,1999999,기타식품,A,식료품 및 비주류음료
89,201801,2,7,2,1,1,7000,11710570,서울특별시,송파구,오금동,1011309,다시마,A,식료품 및 비주류음료
90,201812,2,5,6,1,1,6000,41113,경기도,수원시 권선구,,3030205,뷰러,L,기타 상품 및 서비스
91,201906,2,3,5,1,2,2000,11500620,서울특별시,강서구,공항동,5010199,기타조리도구,E,가정용품 및 가사 서비스
92,201910,2,4,5,1,1,8000,11560535,서울특별시,영등포구,영등포동,1100101,담배,B,주류 및 담배
93,201907,2,6,3,1,1,3000,11230560,서울특별시,동대문구,전농제1동,1010207,물엿,A,식료품 및 비주류음료
94,201810,1,6,5,1,1,6000,41590,경기도,화성시,,1060103,호상발효유,A,식료품 및 비주류음료
95,201905,1,3,3,1,1,10000,11350621,서울특별시,노원구,중계1동,1011501,어묵,A,식료품 및 비주류음료
96,201807,1,4,5,1,2,3000,11380690,서울특별시,은평구,진관동,1011106,수산소재류(냉동),A,식료품 및 비주류음료
97,201812,1,3,5,1,6,3000,11680580,서울특별시,강남구,삼성1동,1050205,채소음료,A,식료품 및 비주류음료
98,201810,1,3,6,1,1,4000,11215870,서울특별시,광진구,구의제3동,1020301,소프트비스켓,A,식료품 및 비주류음료
99,201802,2,4,4,1,2,6000,41150,경기도,의정부시,,1050801,생수,A,식료품 및 비주류음료
100,201901,2,5,5,1,1,6000,11500640,서울특별시,강서구,방화제2동,1050403,커피믹스,A,식료품 및 비주류음료
101,201810,2,5,5,1,1,7000,11650540,서울특별시,서초구,잠원동,1020599,기타반생케익류,A,식료품 및 비주류음료
102,201809,2,4,3,1,2,5000,11305610,서울특별시,강북구,수유1동,5020205,쓰레기봉투,E,가정용품 및 가사 서비스
103,201904,2,4,5,1,2,4000,43130,충청북도,충주시,,1050203,100%과즙음료,A,식료품 및 비주류음료
104,201907,2,5,4,1,1,31000,11530530,서울특별시,구로구,구로제2동,1060102,액상발효유,A,식료품 및 비주류음료
105,201807,1,5,5,1,1,1000,11350621,서울특별시,노원구,중계1동,3039901,이미용소품,L,기타 상품 및 서비스
106,201909,2,5,2,1,1,2000,11710642,서울특별시,송파구,문정2동,3010402,립글로스,L,기타 상품 및 서비스
107,201904,2,2,4,1,2,6000,11350621,서울특별시,노원구,중계1동,1010799,기타면류,A,식료품 및 비주류음료
108,201901,1,5,5,2,1,3000,11170560,서울특별시,용산구,원효로제1동,1011101,만두류,A,식료품 및 비주류음료
109,201808,1,5,5,1,1,12000,11215870,서울특별시,광진구,구의제3동,1050302,컵/PET커피,A,식료품 및 비주류음료
110,201910,2,6,5,1,3,6000,11500570,서울특별시,강서구,화곡제4동,1020204,젤리,A,식료품 및 비주류음료
111,201808,2,7,5,1,2,9000,11560610,서울특별시,영등포구,양평제1동,1050613,식혜/수정과,A,식료품 및 비주류음료
112,201908,1,5,4,1,1,4000,11350621,서울특별시,노원구,중계1동,1011107,축산소재류(냉장/냉동),A,식료품 및 비주류음료
113,201805,2,5,4,1,2,1000,11710710,서울특별시,송파구,잠실6동,1020799,기타과자류,A,식료품 및 비주류음료
114,201909,2,6,3,1,1,3000,11710670,서울특별시,송파구,잠실2동,1011501,어묵,A,식료품 및 비주류음료
115,201806,2,2,4,1,7,36000,11710680,서울특별시,송파구,잠실3동,1050302,컵/PET커피,A,식료품 및 비주류음료
116,201901,2,4,4,1,2,12000,29140,광주광역시,서구,,1070201,달걀,A,식료품 및 비주류음료
117,201912,1,5,4,1,1,8000,11545610,서울특별시,금천구,독산제1동,1070106,엽채류,A,식료품 및 비주류음료
118,201807,2,3,2,1,2,11000,11710642,서울특별시,송파구,문정2동,1011809,조리냉장탕류,A,식료품 및 비주류음료
119,201910,2,6,6,1,1,5000,11410620,서울특별시,서대문구,홍제제1동,1011006,반찬류,A,식료품 및 비주류음료
120,201809,1,3,4,1,1,23000,11350630,서울특별시,노원구,상계1동,1011808,간편식육제품류,A,식료품 및 비주류음료
121,201808,2,6,6,1,2,9000,11230660,서울특별시,동대문구,장안제2동,1010604,캔햄류,A,식료품 및 비주류음료
122,201812,2,4,4,1,13,8000,11560610,서울특별시,영등포구,양평제1동,1060201,후레쉬우유,A,식료품 및 비주류음료
123,201912,2,3,5,1,1,7000,11680720,서울특별시,강남구,일원본동,1050801,생수,A,식료품 및 비주류음료
124,201806,2,2,4,1,1,12000,11650531,서울특별시,서초구,서초4동,1059999,기타음료,A,식료품 및 비주류음료
125,201805,2,5,4,1,1,6000,11530530,서울특별시,구로구,구로제2동,1070109,과수,A,식료품 및 비주류음료
126,201912,2,3,3,1,2,2000,11560610,서울특별시,영등포구,양평제1동,1010999,기타간편가정식/편이식,A,식료품 및 비주류음료
127,201904,2,4,5,1,1,2000,11380690,서울특별시,은평구,진관동,1100101,담배,B,주류 및 담배
128,201909,2,5,5,1,1,7000,11710600,서울특별시,송파구,석촌동,1030104,조리빵류,A,식료품 및 비주류음료
