,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
207,201803,1,4,4,1,1,1000,11410660,서울특별시,서대문구,홍은제1동,1020602,감자스낵,A,식료품 및 비주류음료
208,201901,2,4,5,1,3,2000,11350621,서울특별시,노원구,중계1동,1011102,튀김류,A,식료품 및 비주류음료
209,201810,1,5,4,1,1,27000,11710642,서울특별시,송파구,문정2동,1050203,100%과즙음료,A,식료품 및 비주류음료
210,201902,1,6,4,1,1,10000,11200570,서울특별시,성동구,행당제2동,1050603,옥수수차음료,A,식료품 및 비주류음료
211,201804,2,7,5,1,1,6000,41430,경기도,의왕시,,1050101,사이다,A,식료품 및 비주류음료
212,201910,1,3,4,2,2,7000,11140540,서울특별시,중구,회현동,1070110,특용작물,A,식료품 및 비주류음료
213,201911,2,4,5,1,1,2000,41500,경기도,이천시,,1020307,맛밤류,A,식료품 및 비주류음료
214,201808,2,3,3,1,1,11000,11650621,서울특별시,서초구,방배4동,1070109,과수,A,식료품 및 비주류음료
215,201912,2,4,5,1,1,4000,11320690,서울특별시,도봉구,방학제1동,1011903,유아용과자,A,식료품 및 비주류음료
216,201907,2,5,2,1,2,3000,11545610,서울특별시,금천구,독산제1동,2010306,물티슈,E,가정용품 및 가사 서비스
217,201907,2,4,5,1,1,4000,11230560,서울특별시,동대문구,전농제1동,1010206,설탕,A,식료품 및 비주류음료
218,201802,2,4,3,1,2,8000,11680720,서울특별시,강남구,일원본동,1010602,일반햄류,A,식료품 및 비주류음료
